====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep192  loss 0.2109 (pw 0.0022 harm 1.7773)  [6s, 8,554 win/s]
  ep193  loss 0.2106 (pw 0.0021 harm 1.7665)  [6s, 8,528 win/s]
  ep194  loss 0.2114 (pw 0.0021 harm 1.7834)  [6s, 8,560 win/s]
  ep195  loss 0.2094 (pw 0.0021 harm 1.7795)  [6s, 8,519 win/s]
  ep196  loss 0.2093 (pw 0.0021 harm 1.7736)  [6s, 8,502 win/s]
  ep197  loss 0.2075 (pw 0.0021 harm 1.7507)  [6s, 8,556 win/s]
  ep198  loss 0.2121 (pw 0.0022 harm 1.7730)  [6s, 8,567 win/s]
  ep199  loss 0.2098 (pw 0.0021 harm 1.7785)  [6s, 8,568 win/s]
  ep200  loss 0.2052 (pw 0.0021 harm 1.7443)  |  MAE 4.296W  F1 0.9222  저항3종 0.991  잔차 28.4W  [6s 학습 / 0s 평가, 8,539 win/s]
  ep201  loss 0.2094 (pw 0.0021 harm 1.7778)  [6s, 8,566 win/s]
  ep202  loss 0.2096 (pw 0.0021 harm 1.7740)  [6s, 8,732 win/s]
  ep203  loss 0.2092 (pw 0.0020 harm 1.7832)  [6s, 8,709 win/s]
  ep204  loss 0.2099 (pw 0.0021 harm 1.7785)  [6s, 8,730 win/s]
  ep205  loss 0.2081 (pw 0.0021 harm 1.7709)  [6s, 8,728 win/s]
  ep206  loss 0.2079 (pw 0.0020 harm 1.7711)  [6s, 8,648 win/s]
  ep207  loss 0.2065 (pw 0.0021 harm 1.7422)  [6s, 8,490 win/s]
  ep208  loss 0.2069 (pw 0.0021 harm 1.7548)  [6s, 8,686 win/s]
  ep209  loss 0.2065 (pw 0.0020 harm 1.7589)  [6s, 8,695 win/s]
  ep210  loss 0.2056 (pw 0.0020 harm 1.7534)  |  MAE 4.436W  F1 0.9217  저항3종 0.988  잔차 28.1W  [6s 학습 / 0s 평가, 8,647 win/s]
  ep211  loss 0.2064 (pw 0.0020 harm 1.7584)  [6s, 8,667 win/s]
  ep212  loss 0.2049 (pw 0.0020 harm 1.7519)  [6s, 8,706 win/s]
  ep213  loss 0.2078 (pw 0.0020 harm 1.7741)  [6s, 8,720 win/s]
  ep214  loss 0.2065 (pw 0.0020 harm 1.7691)  [6s, 8,713 win/s]
  ep215  loss 0.2071 (pw 0.0020 harm 1.7682)  [6s, 8,783 win/s]
  ep216  loss 0.2085 (pw 0.0020 harm 1.7780)  [6s, 8,804 win/s]
  ep217  loss 0.2043 (pw 0.0020 harm 1.7508)  [6s, 8,617 win/s]
  ep218  loss 0.2073 (pw 0.0020 harm 1.7654)  [6s, 8,583 win/s]
  ep219  loss 0.2083 (pw 0.0021 harm 1.7724)  [6s, 8,766 win/s]
  ep220  loss 0.2079 (pw 0.0020 harm 1.7774)  |  MAE 4.583W  F1 0.9214  저항3종 0.984  잔차 28.5W  [6s 학습 / 0s 평가, 8,742 win/s]
  ep221  loss 0.2073 (pw 0.0020 harm 1.7648)  [6s, 8,773 win/s]
  ep222  loss 0.2060 (pw 0.0020 harm 1.7673)  [6s, 8,778 win/s]
  ep223  loss 0.2086 (pw 0.0021 harm 1.7719)  [6s, 8,741 win/s]
  ep224  loss 0.2069 (pw 0.0020 harm 1.7710)  [6s, 8,634 win/s]
  ep225  loss 0.2054 (pw 0.0020 harm 1.7604)  [6s, 8,835 win/s]
  ep226  loss 0.2035 (pw 0.0020 harm 1.7395)  [6s, 8,833 win/s]
  ep227  loss 0.2066 (pw 0.0020 harm 1.7740)  [6s, 8,832 win/s]
  ep228  loss 0.2077 (pw 0.0020 harm 1.7840)  [6s, 8,637 win/s]
  ep229  loss 0.2063 (pw 0.0020 harm 1.7579)  [6s, 8,644 win/s]
