====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 170752c24955c352 | 타깃 3539/3600
모델 0.60M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60 — 독립 창 300,000개 (13.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep229  loss 0.1723 (pw 0.0008 harm 1.5827)  [6s, 8,820 win/s]
  ep230  loss 0.1746 (pw 0.0008 harm 1.6032)  |  MAE 2.984W  F1 0.9587  저항3종 0.998  잔차 24.0W  [6s 학습 / 0s 평가, 8,958 win/s]
  ep231  loss 0.1720 (pw 0.0007 harm 1.5878)  [6s, 8,938 win/s]
  ep232  loss 0.1720 (pw 0.0007 harm 1.5867)  [6s, 8,865 win/s]
  ep233  loss 0.1736 (pw 0.0008 harm 1.5976)  [6s, 8,868 win/s]
  ep234  loss 0.1734 (pw 0.0007 harm 1.5948)  [6s, 8,910 win/s]
  ep235  loss 0.1746 (pw 0.0007 harm 1.6152)  [6s, 8,957 win/s]
  ep236  loss 0.1754 (pw 0.0007 harm 1.6212)  [6s, 8,940 win/s]
  ep237  loss 0.1712 (pw 0.0007 harm 1.5861)  [6s, 8,922 win/s]
  ep238  loss 0.1726 (pw 0.0007 harm 1.5870)  [6s, 8,934 win/s]
  ep239  loss 0.1724 (pw 0.0007 harm 1.5978)  [6s, 8,953 win/s]
  ep240  loss 0.1736 (pw 0.0007 harm 1.6001)  |  MAE 3.027W  F1 0.9586  저항3종 0.998  잔차 24.1W  [6s 학습 / 0s 평가, 8,934 win/s]
  ep241  loss 0.1733 (pw 0.0007 harm 1.5984)  [6s, 8,860 win/s]
  ep242  loss 0.1746 (pw 0.0007 harm 1.6180)  [6s, 8,926 win/s]
  ep243  loss 0.1719 (pw 0.0007 harm 1.5900)  [6s, 8,895 win/s]
  ep244  loss 0.1719 (pw 0.0007 harm 1.5912)  [6s, 8,912 win/s]
  ep245  loss 0.1689 (pw 0.0007 harm 1.5612)  [6s, 8,944 win/s]
  ep246  loss 0.1711 (pw 0.0007 harm 1.5788)  [6s, 8,936 win/s]
  ep247  loss 0.1706 (pw 0.0007 harm 1.5800)  [6s, 8,885 win/s]
  ep248  loss 0.1753 (pw 0.0007 harm 1.6216)  [6s, 8,862 win/s]
  ep249  loss 0.1717 (pw 0.0007 harm 1.5872)  [6s, 8,574 win/s]
  ep250  loss 0.1696 (pw 0.0007 harm 1.5669)  |  MAE 3.033W  F1 0.9570  저항3종 0.998  잔차 24.4W  [6s 학습 / 0s 평가, 8,915 win/s]
