### [fd0.2] 1단계 Sat Aug 22 20:40:22     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep184  loss 0.1761 (pw 0.0015 harm 1.4327)  [5s, 9,414 win/s]
  ep185  loss 0.1763 (pw 0.0014 harm 1.4485)  [5s, 9,183 win/s]
  ep186  loss 0.1768 (pw 0.0014 harm 1.4557)  [5s, 9,222 win/s]
  ep187  loss 0.1757 (pw 0.0015 harm 1.4401)  [5s, 9,199 win/s]
  ep188  loss 0.1767 (pw 0.0015 harm 1.4533)  [5s, 9,321 win/s]
  ep189  loss 0.1745 (pw 0.0014 harm 1.4272)  [5s, 9,485 win/s]
  ep190  loss 0.1742 (pw 0.0014 harm 1.4296)  [5s, 9,496 win/s]
  ep191  loss 0.1746 (pw 0.0014 harm 1.4372)  [5s, 9,492 win/s]
  ep192  loss 0.1772 (pw 0.0015 harm 1.4556)  [5s, 9,477 win/s]
  ep193  loss 0.1774 (pw 0.0014 harm 1.4574)  [5s, 9,488 win/s]
  ep194  loss 0.1746 (pw 0.0014 harm 1.4331)  [5s, 9,494 win/s]
  ep195  loss 0.1768 (pw 0.0015 harm 1.4554)  [5s, 9,484 win/s]
  ep196  loss 0.1759 (pw 0.0014 harm 1.4538)  [5s, 9,480 win/s]
  ep197  loss 0.1767 (pw 0.0014 harm 1.4597)  [5s, 9,295 win/s]
  ep198  loss 0.1747 (pw 0.0014 harm 1.4298)  [5s, 9,449 win/s]
  ep199  loss 0.1749 (pw 0.0014 harm 1.4403)  [5s, 9,484 win/s]
  ep200  loss 0.1767 (pw 0.0014 harm 1.4578)  |  MAE 3.254W  F1 0.9789  저항3종 1.000  잔차 26.3W  [5s 학습 / 0s 평가, 9,484 win/s]
  ep201  loss 0.1744 (pw 0.0014 harm 1.4345)  [5s, 9,372 win/s]
  ep202  loss 0.1750 (pw 0.0014 harm 1.4386)  [5s, 9,393 win/s]
  ep203  loss 0.1723 (pw 0.0014 harm 1.4237)  [5s, 9,274 win/s]
  ep204  loss 0.1754 (pw 0.0014 harm 1.4449)  [5s, 9,294 win/s]
  ep205  loss 0.1774 (pw 0.0014 harm 1.4687)  [5s, 9,335 win/s]
  ep206  loss 0.1743 (pw 0.0014 harm 1.4407)  [5s, 9,332 win/s]
  ep207  loss 0.1761 (pw 0.0014 harm 1.4547)  [5s, 9,323 win/s]
  ep208  loss 0.1760 (pw 0.0014 harm 1.4539)  [5s, 9,323 win/s]
  ep209  loss 0.1758 (pw 0.0014 harm 1.4556)  [5s, 9,322 win/s]
  ep210  loss 0.1735 (pw 0.0014 harm 1.4316)  [5s, 9,316 win/s]
  ep211  loss 0.1771 (pw 0.0014 harm 1.4690)  [5s, 9,323 win/s]
  ep212  loss 0.1754 (pw 0.0014 harm 1.4545)  [5s, 9,322 win/s]
  ep213  loss 0.1749 (pw 0.0014 harm 1.4494)  [5s, 9,325 win/s]
  ep214  loss 0.1767 (pw 0.0014 harm 1.4709)  [5s, 9,299 win/s]
  ep215  loss 0.1752 (pw 0.0014 harm 1.4503)  [5s, 9,430 win/s]
  ep216  loss 0.1740 (pw 0.0014 harm 1.4356)  [5s, 9,515 win/s]
  ep217  loss 0.1761 (pw 0.0014 harm 1.4680)  [5s, 9,351 win/s]
  ep218  loss 0.1718 (pw 0.0014 harm 1.4181)  [5s, 9,166 win/s]
  ep219  loss 0.1734 (pw 0.0014 harm 1.4367)  [5s, 9,191 win/s]
  ep220  loss 0.1744 (pw 0.0014 harm 1.4461)  [5s, 9,207 win/s]
  ep221  loss 0.1738 (pw 0.0014 harm 1.4364)  [5s, 9,208 win/s]
  ep222  loss 0.1728 (pw 0.0014 harm 1.4325)  [5s, 9,199 win/s]
  ep223  loss 0.1765 (pw 0.0014 harm 1.4632)  [5s, 9,293 win/s]
  ep224  loss 0.1757 (pw 0.0013 harm 1.4640)  [5s, 9,324 win/s]
  ep225  loss 0.1745 (pw 0.0014 harm 1.4520)  [5s, 9,126 win/s]
  ep226  loss 0.1730 (pw 0.0013 harm 1.4373)  [5s, 9,151 win/s]
  ep227  loss 0.1757 (pw 0.0014 harm 1.4588)  [5s, 9,401 win/s]
  ep228  loss 0.1727 (pw 0.0014 harm 1.4350)  [5s, 9,426 win/s]
  ep229  loss 0.1743 (pw 0.0014 harm 1.4445)  [5s, 9,430 win/s]
  ep230  loss 0.1733 (pw 0.0014 harm 1.4309)  [5s, 9,422 win/s]
  ep231  loss 0.1731 (pw 0.0014 harm 1.4365)  [5s, 9,256 win/s]
  ep232  loss 0.1722 (pw 0.0014 harm 1.4346)  [5s, 9,315 win/s]
  ep233  loss 0.1747 (pw 0.0013 harm 1.4501)  [5s, 9,420 win/s]
  ep234  loss 0.1727 (pw 0.0014 harm 1.4310)  [5s, 9,420 win/s]
  ep235  loss 0.1704 (pw 0.0013 harm 1.4158)  [5s, 9,383 win/s]
  ep236  loss 0.1726 (pw 0.0014 harm 1.4335)  [5s, 9,499 win/s]
  ep237  loss 0.1721 (pw 0.0013 harm 1.4350)  [5s, 9,494 win/s]
  ep238  loss 0.1730 (pw 0.0014 harm 1.4326)  [5s, 9,493 win/s]
  ep239  loss 0.1756 (pw 0.0014 harm 1.4696)  [5s, 9,516 win/s]
  ep240  loss 0.1726 (pw 0.0014 harm 1.4269)  [5s, 9,354 win/s]
  ep241  loss 0.1717 (pw 0.0014 harm 1.4260)  [5s, 9,365 win/s]
  ep242  loss 0.1720 (pw 0.0014 harm 1.4299)  [5s, 9,504 win/s]
  ep243  loss 0.1743 (pw 0.0014 harm 1.4520)  [5s, 9,491 win/s]
  ep244  loss 0.1737 (pw 0.0013 harm 1.4541)  [5s, 9,503 win/s]
  ep245  loss 0.1743 (pw 0.0013 harm 1.4589)  [5s, 9,512 win/s]
  ep246  loss 0.1736 (pw 0.0014 harm 1.4464)  [5s, 9,363 win/s]
  ep247  loss 0.1735 (pw 0.0014 harm 1.4474)  [5s, 9,470 win/s]
  ep248  loss 0.1697 (pw 0.0013 harm 1.4128)  [5s, 9,487 win/s]
  ep249  loss 0.1725 (pw 0.0013 harm 1.4412)  [5s, 9,484 win/s]
  ep250  loss 0.1739 (pw 0.0014 harm 1.4509)  |  MAE 3.220W  F1 0.9779  저항3종 1.000  잔차 26.0W  [5s 학습 / 0s 평가, 9,485 win/s]
  ep251  loss 0.1745 (pw 0.0014 harm 1.4562)  [5s, 9,489 win/s]
  ep252  loss 0.1747 (pw 0.0014 harm 1.4591)  [5s, 9,491 win/s]
  ep253  loss 0.1717 (pw 0.0013 harm 1.4328)  [5s, 9,485 win/s]
  ep254  loss 0.1715 (pw 0.0013 harm 1.4262)  [5s, 9,487 win/s]
  ep255  loss 0.1733 (pw 0.0013 harm 1.4441)  [5s, 9,488 win/s]
  ep256  loss 0.1730 (pw 0.0013 harm 1.4485)  [5s, 9,491 win/s]
  ep257  loss 0.1732 (pw 0.0013 harm 1.4432)  [5s, 9,202 win/s]
  ep258  loss 0.1743 (pw 0.0013 harm 1.4593)  [5s, 9,152 win/s]
  ep259  loss 0.1734 (pw 0.0014 harm 1.4492)  [5s, 9,211 win/s]
  ep260  loss 0.1716 (pw 0.0013 harm 1.4334)  [5s, 9,141 win/s]
  ep261  loss 0.1740 (pw 0.0013 harm 1.4575)  [5s, 9,549 win/s]
  ep262  loss 0.1716 (pw 0.0013 harm 1.4297)  [5s, 9,525 win/s]
  ep263  loss 0.1718 (pw 0.0014 harm 1.4318)  [5s, 9,392 win/s]
  ep264  loss 0.1699 (pw 0.0013 harm 1.4163)  [5s, 9,468 win/s]
  ep265  loss 0.1717 (pw 0.0013 harm 1.4355)  [5s, 9,796 win/s]
  ep266  loss 0.1725 (pw 0.0014 harm 1.4376)  [5s, 9,529 win/s]
  ep267  loss 0.1723 (pw 0.0013 harm 1.4361)  [5s, 9,482 win/s]
