### [wide] 1단계 학습 Sat Aug 22 18:57:28     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.64M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep150  loss 0.1582 (pw 0.0008 harm 1.4132)  |  MAE 2.870W  F1 0.9792  저항3종 1.000  잔차 24.5W  [5s 학습 / 0s 평가, 9,615 win/s]
  ep151  loss 0.1611 (pw 0.0008 harm 1.4281)  [5s, 9,640 win/s]
  ep152  loss 0.1612 (pw 0.0008 harm 1.4359)  [5s, 9,638 win/s]
  ep153  loss 0.1567 (pw 0.0008 harm 1.3992)  [5s, 9,626 win/s]
  ep154  loss 0.1562 (pw 0.0007 harm 1.4020)  [5s, 9,616 win/s]
  ep155  loss 0.1608 (pw 0.0008 harm 1.4415)  [5s, 9,626 win/s]
  ep156  loss 0.1604 (pw 0.0008 harm 1.4133)  [5s, 9,608 win/s]
  ep157  loss 0.1603 (pw 0.0008 harm 1.4328)  [5s, 9,616 win/s]
  ep158  loss 0.1614 (pw 0.0008 harm 1.4224)  [5s, 9,617 win/s]
  ep159  loss 0.1591 (pw 0.0008 harm 1.4145)  [5s, 9,604 win/s]
  ep160  loss 0.1640 (pw 0.0008 harm 1.4692)  [5s, 9,599 win/s]
  ep161  loss 0.1599 (pw 0.0008 harm 1.4279)  [5s, 9,624 win/s]
  ep162  loss 0.1605 (pw 0.0008 harm 1.4395)  [5s, 9,645 win/s]
  ep163  loss 0.1597 (pw 0.0008 harm 1.4227)  [5s, 9,624 win/s]
  ep164  loss 0.1607 (pw 0.0008 harm 1.4299)  [5s, 9,640 win/s]
  ep165  loss 0.1613 (pw 0.0008 harm 1.4387)  [5s, 9,635 win/s]
  ep166  loss 0.1565 (pw 0.0008 harm 1.4028)  [5s, 9,628 win/s]
  ep167  loss 0.1591 (pw 0.0008 harm 1.4194)  [5s, 9,624 win/s]
  ep168  loss 0.1599 (pw 0.0008 harm 1.4375)  [5s, 9,618 win/s]
  ep169  loss 0.1595 (pw 0.0008 harm 1.4272)  [5s, 9,630 win/s]
  ep170  loss 0.1615 (pw 0.0008 harm 1.4444)  [5s, 9,610 win/s]
  ep171  loss 0.1569 (pw 0.0008 harm 1.4030)  [5s, 9,604 win/s]
  ep172  loss 0.1585 (pw 0.0008 harm 1.4256)  [5s, 9,626 win/s]
  ep173  loss 0.1601 (pw 0.0007 harm 1.4487)  [5s, 9,631 win/s]
  ep174  loss 0.1572 (pw 0.0008 harm 1.4089)  [5s, 9,623 win/s]
  ep175  loss 0.1586 (pw 0.0008 harm 1.4274)  [5s, 9,605 win/s]
  ep176  loss 0.1610 (pw 0.0007 harm 1.4541)  [5s, 9,620 win/s]
  ep177  loss 0.1591 (pw 0.0008 harm 1.4275)  [5s, 9,625 win/s]
  ep178  loss 0.1583 (pw 0.0007 harm 1.4254)  [5s, 9,623 win/s]
  ep179  loss 0.1597 (pw 0.0008 harm 1.4373)  [5s, 9,623 win/s]
  ep180  loss 0.1594 (pw 0.0007 harm 1.4397)  [5s, 9,633 win/s]
  ep181  loss 0.1577 (pw 0.0008 harm 1.4136)  [5s, 9,619 win/s]
  ep182  loss 0.1583 (pw 0.0007 harm 1.4265)  [5s, 9,595 win/s]
  ep183  loss 0.1578 (pw 0.0008 harm 1.4155)  [5s, 9,602 win/s]
  ep184  loss 0.1570 (pw 0.0008 harm 1.4120)  [5s, 9,619 win/s]
  ep185  loss 0.1578 (pw 0.0007 harm 1.4284)  [5s, 9,616 win/s]
  ep186  loss 0.1590 (pw 0.0008 harm 1.4363)  [5s, 9,608 win/s]
  ep187  loss 0.1573 (pw 0.0007 harm 1.4200)  [5s, 9,613 win/s]
  ep188  loss 0.1577 (pw 0.0007 harm 1.4324)  [5s, 9,620 win/s]
  ep189  loss 0.1562 (pw 0.0008 harm 1.4069)  [5s, 9,622 win/s]
  ep190  loss 0.1554 (pw 0.0007 harm 1.4097)  [5s, 9,644 win/s]
  ep191  loss 0.1563 (pw 0.0007 harm 1.4175)  [5s, 9,646 win/s]
  ep192  loss 0.1590 (pw 0.0008 harm 1.4353)  [5s, 9,622 win/s]
  ep193  loss 0.1597 (pw 0.0008 harm 1.4379)  [5s, 9,601 win/s]
  ep194  loss 0.1567 (pw 0.0007 harm 1.4147)  [5s, 9,607 win/s]
  ep195  loss 0.1582 (pw 0.0007 harm 1.4356)  [5s, 9,594 win/s]
  ep196  loss 0.1581 (pw 0.0007 harm 1.4343)  [5s, 9,619 win/s]
  ep197  loss 0.1589 (pw 0.0007 harm 1.4399)  [5s, 9,622 win/s]
  ep198  loss 0.1571 (pw 0.0008 harm 1.4102)  [5s, 9,613 win/s]
  ep199  loss 0.1564 (pw 0.0007 harm 1.4200)  [5s, 9,635 win/s]
  ep200  loss 0.1582 (pw 0.0007 harm 1.4376)  |  MAE 2.910W  F1 0.9799  저항3종 1.000  잔차 24.8W  [5s 학습 / 0s 평가, 9,603 win/s]
  ep201  loss 0.1557 (pw 0.0007 harm 1.4147)  [5s, 9,596 win/s]
  ep202  loss 0.1565 (pw 0.0007 harm 1.4177)  [5s, 9,636 win/s]
  ep203  loss 0.1543 (pw 0.0007 harm 1.4046)  [5s, 9,621 win/s]
  ep204  loss 0.1571 (pw 0.0007 harm 1.4245)  [5s, 9,606 win/s]
  ep205  loss 0.1591 (pw 0.0007 harm 1.4479)  [5s, 9,616 win/s]
  ep206  loss 0.1558 (pw 0.0007 harm 1.4205)  [5s, 9,620 win/s]
  ep207  loss 0.1583 (pw 0.0007 harm 1.4347)  [5s, 9,622 win/s]
  ep208  loss 0.1578 (pw 0.0007 harm 1.4347)  [5s, 9,617 win/s]
  ep209  loss 0.1575 (pw 0.0007 harm 1.4358)  [5s, 9,628 win/s]
  ep210  loss 0.1549 (pw 0.0007 harm 1.4114)  [5s, 9,653 win/s]
  ep211  loss 0.1587 (pw 0.0007 harm 1.4491)  [5s, 9,624 win/s]
  ep212  loss 0.1573 (pw 0.0007 harm 1.4351)  [5s, 9,591 win/s]
  ep213  loss 0.1566 (pw 0.0007 harm 1.4297)  [5s, 9,624 win/s]
  ep214  loss 0.1584 (pw 0.0007 harm 1.4511)  [5s, 9,605 win/s]
  ep215  loss 0.1568 (pw 0.0007 harm 1.4305)  [5s, 9,624 win/s]
  ep216  loss 0.1553 (pw 0.0007 harm 1.4154)  [5s, 9,646 win/s]
  ep217  loss 0.1581 (pw 0.0007 harm 1.4490)  [5s, 9,638 win/s]
  ep218  loss 0.1539 (pw 0.0007 harm 1.3990)  [5s, 9,608 win/s]
  ep219  loss 0.1553 (pw 0.0007 harm 1.4176)  [5s, 9,634 win/s]
  ep220  loss 0.1561 (pw 0.0007 harm 1.4265)  [5s, 9,640 win/s]
  ep221  loss 0.1555 (pw 0.0007 harm 1.4169)  [5s, 9,648 win/s]
  ep222  loss 0.1545 (pw 0.0007 harm 1.4129)  [5s, 9,639 win/s]
  ep223  loss 0.1583 (pw 0.0007 harm 1.4432)  [5s, 9,638 win/s]
  ep224  loss 0.1578 (pw 0.0007 harm 1.4447)  [5s, 9,592 win/s]
  ep225  loss 0.1564 (pw 0.0007 harm 1.4327)  [5s, 9,635 win/s]
  ep226  loss 0.1552 (pw 0.0007 harm 1.4186)  [5s, 9,617 win/s]
  ep227  loss 0.1572 (pw 0.0007 harm 1.4390)  [5s, 9,618 win/s]
  ep228  loss 0.1545 (pw 0.0007 harm 1.4153)  [5s, 9,633 win/s]
  ep229  loss 0.1562 (pw 0.0007 harm 1.4256)  [5s, 9,623 win/s]
  ep230  loss 0.1552 (pw 0.0007 harm 1.4120)  [5s, 9,581 win/s]
  ep231  loss 0.1547 (pw 0.0007 harm 1.4169)  [5s, 9,614 win/s]
  ep232  loss 0.1544 (pw 0.0007 harm 1.4160)  [5s, 9,632 win/s]
  ep233  loss 0.1566 (pw 0.0007 harm 1.4315)  [5s, 9,619 win/s]
  ep234  loss 0.1544 (pw 0.0007 harm 1.4117)  [5s, 9,608 win/s]
  ep235  loss 0.1521 (pw 0.0007 harm 1.3965)  [5s, 9,627 win/s]
  ep236  loss 0.1542 (pw 0.0007 harm 1.4136)  [5s, 9,615 win/s]
  ep237  loss 0.1539 (pw 0.0007 harm 1.4160)  [5s, 9,637 win/s]
  ep238  loss 0.1549 (pw 0.0007 harm 1.4129)  [5s, 9,624 win/s]
  ep239  loss 0.1575 (pw 0.0007 harm 1.4502)  [5s, 9,643 win/s]
  ep240  loss 0.1540 (pw 0.0007 harm 1.4069)  [5s, 9,640 win/s]
  ep241  loss 0.1537 (pw 0.0007 harm 1.4066)  [5s, 9,629 win/s]
  ep242  loss 0.1536 (pw 0.0007 harm 1.4102)  [5s, 9,604 win/s]
  ep243  loss 0.1559 (pw 0.0007 harm 1.4327)  [5s, 9,624 win/s]
  ep244  loss 0.1561 (pw 0.0007 harm 1.4356)  [5s, 9,634 win/s]
  ep245  loss 0.1566 (pw 0.0007 harm 1.4407)  [5s, 9,613 win/s]
  ep246  loss 0.1555 (pw 0.0007 harm 1.4270)  [5s, 9,635 win/s]
  ep247  loss 0.1553 (pw 0.0007 harm 1.4281)  [5s, 9,641 win/s]
  ep248  loss 0.1523 (pw 0.0007 harm 1.3943)  [5s, 9,617 win/s]
  ep249  loss 0.1548 (pw 0.0007 harm 1.4224)  [5s, 9,616 win/s]
  ep250  loss 0.1558 (pw 0.0007 harm 1.4315)  |  MAE 2.859W  F1 0.9806  저항3종 1.000  잔차 24.3W  [5s 학습 / 0s 평가, 9,529 win/s]
  ep251  loss 0.1564 (pw 0.0007 harm 1.4369)  [5s, 9,547 win/s]
  ep252  loss 0.1564 (pw 0.0007 harm 1.4399)  [5s, 9,519 win/s]
  ep253  loss 0.1537 (pw 0.0007 harm 1.4145)  [5s, 9,529 win/s]
  ep254  loss 0.1532 (pw 0.0007 harm 1.4067)  [5s, 9,602 win/s]
  ep255  loss 0.1550 (pw 0.0007 harm 1.4249)  [5s, 9,625 win/s]
  ep256  loss 0.1551 (pw 0.0007 harm 1.4305)  [5s, 9,501 win/s]
  ep257  loss 0.1549 (pw 0.0007 harm 1.4236)  [5s, 9,484 win/s]
  ep258  loss 0.1567 (pw 0.0007 harm 1.4400)  [5s, 9,575 win/s]
  ep259  loss 0.1555 (pw 0.0007 harm 1.4298)  [5s, 9,584 win/s]
  ep260  loss 0.1537 (pw 0.0007 harm 1.4148)  [5s, 9,574 win/s]
  ep261  loss 0.1563 (pw 0.0007 harm 1.4389)  [5s, 9,581 win/s]
  ep262  loss 0.1534 (pw 0.0007 harm 1.4104)  [5s, 9,572 win/s]
  ep263  loss 0.1538 (pw 0.0007 harm 1.4129)  [5s, 9,564 win/s]
  ep264  loss 0.1523 (pw 0.0007 harm 1.3972)  [5s, 9,512 win/s]
  ep265  loss 0.1538 (pw 0.0007 harm 1.4168)  [5s, 9,470 win/s]
  ep266  loss 0.1544 (pw 0.0007 harm 1.4179)  [5s, 9,520 win/s]
  ep267  loss 0.1541 (pw 0.0007 harm 1.4168)  [5s, 9,564 win/s]
