### 시드 스윕 시작 Sat Aug 22 23:27:26     2026  — 짝지은 설계: 같은 시드로 base(fd0) 와 fd0.2 를 함께
### [sw_base_s1] 1단계 Sat Aug 22 23:27:26     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep165  loss 0.1590 (pw 0.0008 harm 1.4137)  [5s, 9,160 win/s]
  ep166  loss 0.1623 (pw 0.0008 harm 1.4486)  [6s, 9,044 win/s]
  ep167  loss 0.1618 (pw 0.0008 harm 1.4389)  [6s, 8,968 win/s]
  ep168  loss 0.1582 (pw 0.0008 harm 1.4181)  [5s, 9,102 win/s]
  ep169  loss 0.1577 (pw 0.0008 harm 1.4136)  [5s, 9,179 win/s]
  ep170  loss 0.1617 (pw 0.0008 harm 1.4381)  [5s, 9,172 win/s]
  ep171  loss 0.1630 (pw 0.0008 harm 1.4596)  [5s, 9,133 win/s]
  ep172  loss 0.1577 (pw 0.0008 harm 1.4118)  [6s, 9,064 win/s]
  ep173  loss 0.1582 (pw 0.0008 harm 1.4187)  [5s, 9,127 win/s]
  ep174  loss 0.1580 (pw 0.0008 harm 1.4224)  [5s, 9,144 win/s]
  ep175  loss 0.1579 (pw 0.0008 harm 1.4071)  [5s, 9,123 win/s]
  ep176  loss 0.1570 (pw 0.0008 harm 1.4047)  [5s, 9,154 win/s]
  ep177  loss 0.1635 (pw 0.0008 harm 1.4558)  [6s, 9,057 win/s]
  ep178  loss 0.1577 (pw 0.0008 harm 1.4171)  [6s, 8,852 win/s]
  ep179  loss 0.1605 (pw 0.0008 harm 1.4382)  [6s, 8,750 win/s]
  ep180  loss 0.1549 (pw 0.0008 harm 1.3875)  [6s, 8,786 win/s]
  ep181  loss 0.1588 (pw 0.0008 harm 1.4260)  [6s, 8,664 win/s]
  ep182  loss 0.1599 (pw 0.0008 harm 1.4402)  [6s, 8,427 win/s]
  ep183  loss 0.1586 (pw 0.0008 harm 1.4323)  [6s, 8,526 win/s]
  ep184  loss 0.1587 (pw 0.0008 harm 1.4333)  [6s, 8,631 win/s]
  ep185  loss 0.1595 (pw 0.0008 harm 1.4374)  [6s, 8,623 win/s]
  ep186  loss 0.1606 (pw 0.0008 harm 1.4533)  [6s, 8,593 win/s]
  ep187  loss 0.1577 (pw 0.0008 harm 1.4189)  [6s, 8,616 win/s]
  ep188  loss 0.1602 (pw 0.0008 harm 1.4499)  [6s, 8,486 win/s]
  ep189  loss 0.1574 (pw 0.0008 harm 1.4255)  [6s, 8,640 win/s]
  ep190  loss 0.1575 (pw 0.0008 harm 1.4286)  [6s, 8,763 win/s]
  ep191  loss 0.1592 (pw 0.0008 harm 1.4358)  [6s, 9,042 win/s]
  ep192  loss 0.1570 (pw 0.0008 harm 1.4188)  [6s, 8,770 win/s]
  ep193  loss 0.1577 (pw 0.0007 harm 1.4331)  [6s, 8,464 win/s]
  ep194  loss 0.1595 (pw 0.0008 harm 1.4278)  [6s, 8,902 win/s]
  ep195  loss 0.1563 (pw 0.0008 harm 1.4039)  [6s, 8,880 win/s]
  ep196  loss 0.1592 (pw 0.0007 harm 1.4446)  [6s, 8,817 win/s]
  ep197  loss 0.1586 (pw 0.0008 harm 1.4300)  [6s, 8,717 win/s]
  ep198  loss 0.1557 (pw 0.0008 harm 1.4068)  [6s, 8,877 win/s]
  ep199  loss 0.1589 (pw 0.0008 harm 1.4340)  [6s, 8,763 win/s]
  ep200  loss 0.1577 (pw 0.0008 harm 1.4274)  |  MAE 3.142W  F1 0.9765  저항3종 1.000  잔차 26.3W  [6s 학습 / 0s 평가, 8,606 win/s]
  ep201  loss 0.1565 (pw 0.0008 harm 1.4161)  [6s, 8,841 win/s]
  ep202  loss 0.1552 (pw 0.0007 harm 1.4062)  [6s, 8,776 win/s]
  ep203  loss 0.1563 (pw 0.0007 harm 1.4144)  [6s, 8,736 win/s]
  ep204  loss 0.1569 (pw 0.0007 harm 1.4292)  [6s, 8,522 win/s]
