====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ov — 독립 창 300,000개 (18.2GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep135  loss 0.1595 (pw 0.0009 harm 1.3974)  [6s, 8,689 win/s]
  ep136  loss 0.1562 (pw 0.0008 harm 1.3660)  [6s, 8,515 win/s]
  ep137  loss 0.1546 (pw 0.0008 harm 1.3579)  [6s, 8,508 win/s]
  ep138  loss 0.1570 (pw 0.0008 harm 1.3705)  [6s, 8,545 win/s]
  ep139  loss 0.1552 (pw 0.0008 harm 1.3678)  [6s, 8,522 win/s]
  ep140  loss 0.1548 (pw 0.0008 harm 1.3627)  |  MAE 3.099W  F1 0.9778  저항3종 1.000  잔차 25.4W  [6s 학습 / 0s 평가, 8,570 win/s]
  ep141  loss 0.1577 (pw 0.0008 harm 1.3887)  [6s, 8,615 win/s]
  ep142  loss 0.1558 (pw 0.0008 harm 1.3684)  [6s, 8,695 win/s]
  ep143  loss 0.1532 (pw 0.0008 harm 1.3408)  [6s, 8,727 win/s]
  ep144  loss 0.1585 (pw 0.0008 harm 1.3854)  [6s, 8,717 win/s]
  ep145  loss 0.1555 (pw 0.0008 harm 1.3686)  [6s, 8,703 win/s]
  ep146  loss 0.1535 (pw 0.0008 harm 1.3519)  [6s, 8,731 win/s]
  ep147  loss 0.1584 (pw 0.0008 harm 1.3976)  [6s, 8,738 win/s]
  ep148  loss 0.1553 (pw 0.0008 harm 1.3705)  [6s, 8,639 win/s]
  ep149  loss 0.1572 (pw 0.0008 harm 1.3827)  [6s, 8,602 win/s]
  ep150  loss 0.1560 (pw 0.0008 harm 1.3690)  |  MAE 3.144W  F1 0.9755  저항3종 1.000  잔차 25.4W  [6s 학습 / 0s 평가, 8,713 win/s]
  ep151  loss 0.1591 (pw 0.0008 harm 1.4039)  [6s, 8,391 win/s]
  ep152  loss 0.1571 (pw 0.0008 harm 1.3877)  [6s, 8,265 win/s]
  ep153  loss 0.1582 (pw 0.0008 harm 1.4029)  [6s, 8,167 win/s]
  ep154  loss 0.1546 (pw 0.0008 harm 1.3672)  [6s, 8,476 win/s]
  ep155  loss 0.1558 (pw 0.0008 harm 1.3736)  [6s, 8,603 win/s]
  ep156  loss 0.1566 (pw 0.0008 harm 1.3949)  [6s, 8,468 win/s]
  ep157  loss 0.1573 (pw 0.0008 harm 1.3914)  [6s, 8,514 win/s]
  ep158  loss 0.1536 (pw 0.0008 harm 1.3673)  [6s, 8,399 win/s]
  ep159  loss 0.1575 (pw 0.0008 harm 1.4007)  [6s, 7,754 win/s]
  ep160  loss 0.1559 (pw 0.0008 harm 1.3870)  |  MAE 3.054W  F1 0.9779  저항3종 1.000  잔차 25.4W  [6s 학습 / 0s 평가, 7,842 win/s]
  ep161  loss 0.1556 (pw 0.0008 harm 1.3724)  [6s, 8,375 win/s]
  ep162  loss 0.1560 (pw 0.0008 harm 1.3897)  [6s, 8,549 win/s]
  ep163  loss 0.1527 (pw 0.0008 harm 1.3576)  [6s, 8,549 win/s]
  ep164  loss 0.1569 (pw 0.0008 harm 1.3998)  [6s, 8,514 win/s]
  ep165  loss 0.1539 (pw 0.0008 harm 1.3626)  [6s, 8,548 win/s]
  ep166  loss 0.1527 (pw 0.0008 harm 1.3554)  [6s, 8,542 win/s]
  ep167  loss 0.1535 (pw 0.0008 harm 1.3596)  [6s, 8,466 win/s]
  ep168  loss 0.1522 (pw 0.0008 harm 1.3559)  [6s, 7,988 win/s]
  ep169  loss 0.1546 (pw 0.0008 harm 1.3814)  [6s, 7,972 win/s]
  ep170  loss 0.1556 (pw 0.0008 harm 1.3765)  |  MAE 3.092W  F1 0.9782  저항3종 1.000  잔차 25.1W  [6s 학습 / 0s 평가, 8,570 win/s]
  ep171  loss 0.1535 (pw 0.0008 harm 1.3647)  [6s, 8,490 win/s]
  ep172  loss 0.1573 (pw 0.0008 harm 1.4029)  [6s, 8,576 win/s]
  ep173  loss 0.1544 (pw 0.0008 harm 1.3809)  [6s, 8,549 win/s]
  ep174  loss 0.1541 (pw 0.0008 harm 1.3796)  [6s, 8,552 win/s]
  ep175  loss 0.1534 (pw 0.0008 harm 1.3572)  [6s, 8,520 win/s]
  ep176  loss 0.1516 (pw 0.0008 harm 1.3483)  [6s, 8,533 win/s]
  ep177  loss 0.1558 (pw 0.0008 harm 1.3847)  [6s, 8,497 win/s]
  ep178  loss 0.1550 (pw 0.0008 harm 1.3858)  [6s, 8,039 win/s]
  ep179  loss 0.1521 (pw 0.0008 harm 1.3563)  [6s, 8,108 win/s]
  ep180  loss 0.1515 (pw 0.0008 harm 1.3525)  |  MAE 3.059W  F1 0.9792  저항3종 1.000  잔차 25.3W  [6s 학습 / 0s 평가, 8,356 win/s]
  ep181  loss 0.1541 (pw 0.0008 harm 1.3786)  [6s, 8,557 win/s]
  ep182  loss 0.1550 (pw 0.0008 harm 1.3919)  [6s, 8,668 win/s]
  ep183  loss 0.1516 (pw 0.0007 harm 1.3619)  [6s, 8,761 win/s]
  ep184  loss 0.1554 (pw 0.0008 harm 1.3951)  [6s, 8,728 win/s]
  ep185  loss 0.1518 (pw 0.0007 harm 1.3597)  [6s, 8,754 win/s]
  ep186  loss 0.1536 (pw 0.0007 harm 1.3817)  [6s, 8,744 win/s]
  ep187  loss 0.1551 (pw 0.0008 harm 1.3914)  [6s, 8,732 win/s]
  ep188  loss 0.1511 (pw 0.0008 harm 1.3548)  [6s, 8,461 win/s]
  ep189  loss 0.1536 (pw 0.0007 harm 1.3856)  [6s, 8,532 win/s]
  ep190  loss 0.1515 (pw 0.0007 harm 1.3628)  |  MAE 2.824W  F1 0.9802  저항3종 0.999  잔차 24.0W  [6s 학습 / 0s 평가, 8,571 win/s]
  ep191  loss 0.1516 (pw 0.0008 harm 1.3585)  [6s, 8,347 win/s]
  ep192  loss 0.1528 (pw 0.0007 harm 1.3735)  [6s, 8,096 win/s]
  ep193  loss 0.1523 (pw 0.0007 harm 1.3749)  [6s, 8,290 win/s]
  ep194  loss 0.1583 (pw 0.0008 harm 1.4138)  [6s, 8,950 win/s]
  ep195  loss 0.1533 (pw 0.0007 harm 1.3756)  [6s, 8,946 win/s]
  ep196  loss 0.1504 (pw 0.0007 harm 1.3557)  [6s, 8,954 win/s]
  ep197  loss 0.1553 (pw 0.0008 harm 1.3961)  [6s, 8,990 win/s]
  ep198  loss 0.1527 (pw 0.0007 harm 1.3744)  [6s, 8,965 win/s]
  ep199  loss 0.1519 (pw 0.0008 harm 1.3604)  [6s, 9,000 win/s]
  ep200  loss 0.1498 (pw 0.0007 harm 1.3457)  |  MAE 3.019W  F1 0.9766  저항3종 0.999  잔차 24.8W  [6s 학습 / 0s 평가, 9,004 win/s]
  ep201  loss 0.1531 (pw 0.0007 harm 1.3814)  [6s, 9,023 win/s]
  ep202  loss 0.1507 (pw 0.0007 harm 1.3571)  [6s, 9,048 win/s]
  ep203  loss 0.1540 (pw 0.0007 harm 1.3912)  [6s, 9,053 win/s]
  ep204  loss 0.1522 (pw 0.0007 harm 1.3796)  [6s, 9,065 win/s]
  ep205  loss 0.1498 (pw 0.0007 harm 1.3526)  [6s, 9,028 win/s]
  ep206  loss 0.1546 (pw 0.0008 harm 1.3900)  [6s, 9,041 win/s]
  ep207  loss 0.1538 (pw 0.0007 harm 1.3881)  [6s, 9,045 win/s]
  ep208  loss 0.1543 (pw 0.0007 harm 1.3912)  [6s, 9,012 win/s]
  ep209  loss 0.1501 (pw 0.0007 harm 1.3560)  [6s, 8,984 win/s]
  ep210  loss 0.1521 (pw 0.0007 harm 1.3756)  |  MAE 2.975W  F1 0.9791  저항3종 1.000  잔차 24.7W  [6s 학습 / 0s 평가, 9,071 win/s]
  ep211  loss 0.1500 (pw 0.0007 harm 1.3538)  [6s, 9,076 win/s]
  ep212  loss 0.1536 (pw 0.0007 harm 1.3926)  [6s, 8,954 win/s]
  ep213  loss 0.1518 (pw 0.0007 harm 1.3685)  [6s, 8,758 win/s]
  ep214  loss 0.1508 (pw 0.0007 harm 1.3675)  [6s, 8,891 win/s]
  ep215  loss 0.1535 (pw 0.0007 harm 1.3960)  [6s, 8,618 win/s]
  ep216  loss 0.1540 (pw 0.0007 harm 1.3945)  [6s, 8,295 win/s]
  ep217  loss 0.1525 (pw 0.0007 harm 1.3832)  [6s, 8,376 win/s]
  ep218  loss 0.1557 (pw 0.0007 harm 1.4118)  [6s, 8,982 win/s]
  ep219  loss 0.1499 (pw 0.0007 harm 1.3522)  [6s, 8,939 win/s]
  ep220  loss 0.1523 (pw 0.0007 harm 1.3787)  |  MAE 3.105W  F1 0.9765  저항3종 1.000  잔차 25.6W  [6s 학습 / 0s 평가, 8,889 win/s]
  ep221  loss 0.1502 (pw 0.0007 harm 1.3573)  [6s, 8,829 win/s]
  ep222  loss 0.1490 (pw 0.0007 harm 1.3504)  [6s, 8,888 win/s]
  ep223  loss 0.1533 (pw 0.0007 harm 1.3904)  [6s, 8,847 win/s]
  ep224  loss 0.1513 (pw 0.0007 harm 1.3736)  [6s, 8,876 win/s]
  ep225  loss 0.1521 (pw 0.0007 harm 1.3857)  [6s, 8,884 win/s]
  ep226  loss 0.1497 (pw 0.0007 harm 1.3647)  [6s, 8,899 win/s]
  ep227  loss 0.1521 (pw 0.0007 harm 1.3772)  [6s, 8,871 win/s]
  ep228  loss 0.1541 (pw 0.0007 harm 1.3968)  [6s, 8,864 win/s]
  ep229  loss 0.1523 (pw 0.0007 harm 1.3864)  [6s, 8,924 win/s]
  ep230  loss 0.1478 (pw 0.0007 harm 1.3358)  |  MAE 3.074W  F1 0.9780  저항3종 0.999  잔차 25.2W  [6s 학습 / 0s 평가, 8,878 win/s]
  ep231  loss 0.1492 (pw 0.0007 harm 1.3559)  [6s, 8,882 win/s]
  ep232  loss 0.1535 (pw 0.0007 harm 1.3944)  [6s, 8,578 win/s]
  ep233  loss 0.1506 (pw 0.0007 harm 1.3662)  [6s, 8,641 win/s]
  ep234  loss 0.1529 (pw 0.0007 harm 1.3944)  [6s, 8,849 win/s]
  ep235  loss 0.1489 (pw 0.0007 harm 1.3530)  [6s, 8,457 win/s]
  ep236  loss 0.1553 (pw 0.0007 harm 1.4139)  [6s, 8,744 win/s]
  ep237  loss 0.1483 (pw 0.0007 harm 1.3462)  [6s, 8,697 win/s]
  ep238  loss 0.1499 (pw 0.0007 harm 1.3665)  [6s, 8,420 win/s]
  ep239  loss 0.1510 (pw 0.0007 harm 1.3762)  [6s, 8,541 win/s]
  ep240  loss 0.1487 (pw 0.0007 harm 1.3553)  |  MAE 2.981W  F1 0.9784  저항3종 1.000  잔차 24.9W  [6s 학습 / 0s 평가, 8,513 win/s]
  ep241  loss 0.1532 (pw 0.0007 harm 1.3909)  [6s, 8,551 win/s]
  ep242  loss 0.1481 (pw 0.0007 harm 1.3469)  [6s, 8,584 win/s]
  ep243  loss 0.1479 (pw 0.0007 harm 1.3448)  [6s, 8,626 win/s]
  ep244  loss 0.1498 (pw 0.0007 harm 1.3640)  [6s, 8,612 win/s]
  ep245  loss 0.1490 (pw 0.0007 harm 1.3602)  [6s, 8,583 win/s]
  ep246  loss 0.1499 (pw 0.0007 harm 1.3682)  [6s, 8,628 win/s]
  ep247  loss 0.1501 (pw 0.0007 harm 1.3653)  [6s, 8,619 win/s]
  ep248  loss 0.1514 (pw 0.0007 harm 1.3834)  [6s, 8,536 win/s]
  ep249  loss 0.1515 (pw 0.0007 harm 1.3783)  [6s, 8,512 win/s]
