====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsf — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep178  loss 0.0781 (pw 0.0046 harm 0.4676)  [5s, 9,445 win/s]
  ep179  loss 0.0785 (pw 0.0046 harm 0.4658)  [5s, 9,521 win/s]
  ep180  loss 0.0778 (pw 0.0046 harm 0.4665)  |  MAE 3.448W  F1 0.9684  저항3종 0.994  잔차 24.2W  [5s 학습 / 0s 평가, 9,519 win/s]
  ep181  loss 0.0792 (pw 0.0046 harm 0.4677)  [5s, 9,389 win/s]
  ep182  loss 0.0784 (pw 0.0046 harm 0.4648)  [5s, 9,480 win/s]
  ep183  loss 0.0789 (pw 0.0047 harm 0.4664)  [5s, 9,456 win/s]
  ep184  loss 0.0788 (pw 0.0046 harm 0.4677)  [5s, 9,424 win/s]
  ep185  loss 0.0771 (pw 0.0046 harm 0.4656)  [5s, 9,446 win/s]
  ep186  loss 0.0774 (pw 0.0046 harm 0.4665)  [5s, 9,418 win/s]
  ep187  loss 0.0778 (pw 0.0046 harm 0.4674)  [5s, 9,510 win/s]
  ep188  loss 0.0758 (pw 0.0045 harm 0.4643)  [5s, 9,286 win/s]
  ep189  loss 0.0783 (pw 0.0046 harm 0.4679)  [5s, 9,514 win/s]
  ep190  loss 0.0756 (pw 0.0046 harm 0.4662)  |  MAE 3.344W  F1 0.9677  저항3종 0.994  잔차 23.7W  [5s 학습 / 0s 평가, 9,477 win/s]
  ep191  loss 0.0763 (pw 0.0046 harm 0.4657)  [5s, 9,524 win/s]
  ep192  loss 0.0784 (pw 0.0047 harm 0.4687)  [5s, 9,435 win/s]
  ep193  loss 0.0792 (pw 0.0047 harm 0.4703)  [5s, 9,487 win/s]
  ep194  loss 0.0781 (pw 0.0046 harm 0.4670)  [5s, 9,521 win/s]
  ep195  loss 0.0761 (pw 0.0046 harm 0.4651)  [5s, 9,408 win/s]
  ep196  loss 0.0761 (pw 0.0045 harm 0.4651)  [5s, 9,445 win/s]
  ep197  loss 0.0770 (pw 0.0046 harm 0.4672)  [5s, 9,500 win/s]
  ep198  loss 0.0790 (pw 0.0047 harm 0.4662)  [5s, 9,531 win/s]
  ep199  loss 0.0762 (pw 0.0046 harm 0.4642)  [5s, 9,337 win/s]
  ep200  loss 0.0759 (pw 0.0046 harm 0.4671)  |  MAE 3.511W  F1 0.9657  저항3종 0.992  잔차 24.4W  [5s 학습 / 0s 평가, 9,430 win/s]
  ep201  loss 0.0763 (pw 0.0046 harm 0.4676)  [5s, 9,511 win/s]
  ep202  loss 0.0772 (pw 0.0046 harm 0.4679)  [5s, 9,424 win/s]
  ep203  loss 0.0756 (pw 0.0045 harm 0.4656)  [5s, 9,417 win/s]
  ep204  loss 0.0767 (pw 0.0046 harm 0.4666)  [5s, 9,523 win/s]
  ep205  loss 0.0757 (pw 0.0046 harm 0.4648)  [5s, 9,561 win/s]
  ep206  loss 0.0755 (pw 0.0045 harm 0.4664)  [5s, 9,474 win/s]
  ep207  loss 0.0768 (pw 0.0046 harm 0.4659)  [5s, 9,433 win/s]
  ep208  loss 0.0762 (pw 0.0046 harm 0.4645)  [5s, 9,424 win/s]
  ep209  loss 0.0753 (pw 0.0045 harm 0.4670)  [5s, 9,493 win/s]
  ep210  loss 0.0749 (pw 0.0046 harm 0.4663)  |  MAE 3.442W  F1 0.9658  저항3종 0.995  잔차 23.5W  [5s 학습 / 0s 평가, 9,419 win/s]
  ep211  loss 0.0748 (pw 0.0045 harm 0.4640)  [5s, 9,484 win/s]
  ep212  loss 0.0747 (pw 0.0046 harm 0.4662)  [5s, 9,479 win/s]
  ep213  loss 0.0751 (pw 0.0045 harm 0.4663)  [5s, 9,476 win/s]
  ep214  loss 0.0744 (pw 0.0045 harm 0.4667)  [5s, 9,378 win/s]
  ep215  loss 0.0746 (pw 0.0045 harm 0.4635)  [5s, 9,409 win/s]
  ep216  loss 0.0754 (pw 0.0045 harm 0.4655)  [5s, 9,562 win/s]
  ep217  loss 0.0737 (pw 0.0045 harm 0.4636)  [5s, 9,306 win/s]
  ep218  loss 0.0756 (pw 0.0046 harm 0.4656)  [5s, 9,379 win/s]
  ep219  loss 0.0758 (pw 0.0045 harm 0.4666)  [5s, 9,469 win/s]
  ep220  loss 0.0746 (pw 0.0045 harm 0.4632)  |  MAE 3.459W  F1 0.9674  저항3종 0.994  잔차 23.4W  [5s 학습 / 0s 평가, 9,490 win/s]
  ep221  loss 0.0755 (pw 0.0046 harm 0.4641)  [5s, 9,400 win/s]
  ep222  loss 0.0738 (pw 0.0046 harm 0.4636)  [5s, 9,471 win/s]
  ep223  loss 0.0757 (pw 0.0046 harm 0.4654)  [5s, 9,495 win/s]
  ep224  loss 0.0745 (pw 0.0045 harm 0.4655)  [5s, 9,416 win/s]
  ep225  loss 0.0744 (pw 0.0046 harm 0.4670)  [5s, 9,421 win/s]
  ep226  loss 0.0746 (pw 0.0045 harm 0.4656)  [5s, 9,446 win/s]
  ep227  loss 0.0744 (pw 0.0045 harm 0.4671)  [5s, 9,484 win/s]
  ep228  loss 0.0738 (pw 0.0045 harm 0.4646)  [5s, 9,415 win/s]
  ep229  loss 0.0750 (pw 0.0046 harm 0.4647)  [5s, 9,549 win/s]
  ep230  loss 0.0761 (pw 0.0046 harm 0.4664)  |  MAE 3.455W  F1 0.9662  저항3종 0.995  잔차 23.8W  [5s 학습 / 0s 평가, 9,454 win/s]
  ep231  loss 0.0738 (pw 0.0045 harm 0.4668)  [5s, 9,460 win/s]
  ep232  loss 0.0736 (pw 0.0045 harm 0.4650)  [5s, 9,408 win/s]
  ep233  loss 0.0749 (pw 0.0046 harm 0.4640)  [5s, 9,481 win/s]
  ep234  loss 0.0749 (pw 0.0045 harm 0.4647)  [5s, 9,550 win/s]
  ep235  loss 0.0729 (pw 0.0045 harm 0.4646)  [5s, 9,443 win/s]
  ep236  loss 0.0741 (pw 0.0045 harm 0.4643)  [5s, 9,458 win/s]
  ep237  loss 0.0722 (pw 0.0045 harm 0.4626)  [5s, 9,504 win/s]
  ep238  loss 0.0752 (pw 0.0046 harm 0.4666)  [5s, 9,493 win/s]
  ep239  loss 0.0727 (pw 0.0045 harm 0.4630)  [5s, 9,418 win/s]
  ep240  loss 0.0745 (pw 0.0045 harm 0.4655)  |  MAE 3.415W  F1 0.9680  저항3종 0.994  잔차 23.5W  [5s 학습 / 0s 평가, 9,545 win/s]
  ep241  loss 0.0746 (pw 0.0045 harm 0.4657)  [5s, 9,561 win/s]
  ep242  loss 0.0736 (pw 0.0045 harm 0.4661)  [5s, 9,432 win/s]
  ep243  loss 0.0730 (pw 0.0045 harm 0.4655)  [5s, 9,426 win/s]
  ep244  loss 0.0729 (pw 0.0044 harm 0.4619)  [5s, 9,453 win/s]
