====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 92db1dfee4dabbdd | 타깃 3059/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_la9 — 독립 창 300,000개 (23.4GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep212  loss 0.1488 (pw 0.0007 harm 1.3544)  [7s, 7,156 win/s]
  ep213  loss 0.1510 (pw 0.0007 harm 1.3766)  [7s, 7,174 win/s]
  ep214  loss 0.1487 (pw 0.0007 harm 1.3570)  [7s, 7,173 win/s]
  ep215  loss 0.1510 (pw 0.0007 harm 1.3769)  [7s, 7,169 win/s]
  ep216  loss 0.1549 (pw 0.0007 harm 1.4110)  [7s, 7,194 win/s]
  ep217  loss 0.1519 (pw 0.0007 harm 1.3898)  [7s, 7,175 win/s]
  ep218  loss 0.1507 (pw 0.0007 harm 1.3706)  [7s, 7,172 win/s]
  ep219  loss 0.1528 (pw 0.0007 harm 1.3914)  [7s, 7,159 win/s]
  ep220  loss 0.1489 (pw 0.0007 harm 1.3571)  |  MAE 2.949W  F1 0.9759  저항3종 1.000  잔차 25.2W  [7s 학습 / 1s 평가, 7,150 win/s]
  ep221  loss 0.1497 (pw 0.0007 harm 1.3604)  [7s, 7,180 win/s]
  ep222  loss 0.1480 (pw 0.0007 harm 1.3514)  [7s, 7,199 win/s]
  ep223  loss 0.1523 (pw 0.0007 harm 1.3859)  [7s, 7,151 win/s]
  ep224  loss 0.1494 (pw 0.0007 harm 1.3647)  [7s, 7,187 win/s]
  ep225  loss 0.1478 (pw 0.0007 harm 1.3490)  [7s, 7,223 win/s]
  ep226  loss 0.1514 (pw 0.0007 harm 1.3826)  [7s, 7,198 win/s]
  ep227  loss 0.1509 (pw 0.0007 harm 1.3783)  [7s, 7,174 win/s]
  ep228  loss 0.1543 (pw 0.0007 harm 1.4143)  [7s, 7,158 win/s]
  ep229  loss 0.1512 (pw 0.0007 harm 1.3797)  [7s, 7,182 win/s]
  ep230  loss 0.1519 (pw 0.0007 harm 1.3830)  |  MAE 2.979W  F1 0.9767  저항3종 1.000  잔차 25.4W  [7s 학습 / 0s 평가, 7,150 win/s]
  ep231  loss 0.1498 (pw 0.0007 harm 1.3723)  [7s, 7,164 win/s]
  ep232  loss 0.1537 (pw 0.0007 harm 1.4099)  [7s, 7,171 win/s]
  ep233  loss 0.1521 (pw 0.0007 harm 1.3902)  [7s, 7,171 win/s]
  ep234  loss 0.1483 (pw 0.0007 harm 1.3513)  [7s, 7,142 win/s]
  ep235  loss 0.1495 (pw 0.0007 harm 1.3713)  [7s, 7,177 win/s]
  ep236  loss 0.1508 (pw 0.0007 harm 1.3815)  [7s, 7,184 win/s]
  ep237  loss 0.1507 (pw 0.0007 harm 1.3847)  [7s, 7,159 win/s]
  ep238  loss 0.1505 (pw 0.0007 harm 1.3731)  [7s, 7,177 win/s]
  ep239  loss 0.1526 (pw 0.0007 harm 1.4043)  [7s, 7,175 win/s]
  ep240  loss 0.1512 (pw 0.0007 harm 1.3839)  |  MAE 2.976W  F1 0.9765  저항3종 1.000  잔차 25.4W  [7s 학습 / 0s 평가, 7,166 win/s]
  ep241  loss 0.1501 (pw 0.0007 harm 1.3708)  [7s, 7,197 win/s]
  ep242  loss 0.1487 (pw 0.0007 harm 1.3623)  [7s, 7,185 win/s]
  ep243  loss 0.1490 (pw 0.0007 harm 1.3678)  [7s, 7,185 win/s]
  ep244  loss 0.1527 (pw 0.0007 harm 1.4046)  [7s, 7,201 win/s]
  ep245  loss 0.1483 (pw 0.0007 harm 1.3605)  [7s, 7,172 win/s]
  ep246  loss 0.1508 (pw 0.0007 harm 1.3818)  [7s, 7,184 win/s]
  ep247  loss 0.1490 (pw 0.0007 harm 1.3694)  [7s, 7,173 win/s]
  ep248  loss 0.1469 (pw 0.0007 harm 1.3427)  [7s, 7,170 win/s]
  ep249  loss 0.1493 (pw 0.0007 harm 1.3698)  [7s, 7,178 win/s]
