====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_oddmag — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep175  loss 0.3570 (pw 0.0009 harm 3.3664)  [5s, 9,567 win/s]
  ep176  loss 0.3532 (pw 0.0009 harm 3.3338)  [5s, 9,623 win/s]
  ep177  loss 0.3583 (pw 0.0009 harm 3.3667)  [5s, 9,610 win/s]
  ep178  loss 0.3503 (pw 0.0009 harm 3.3007)  [5s, 9,639 win/s]
  ep179  loss 0.3518 (pw 0.0009 harm 3.3069)  [5s, 9,592 win/s]
  ep180  loss 0.3566 (pw 0.0009 harm 3.3640)  |  MAE 2.985W  F1 0.9787  저항3종 1.000  잔차 24.2W  [5s 학습 / 0s 평가, 9,643 win/s]
  ep181  loss 0.3584 (pw 0.0009 harm 3.3689)  [5s, 9,637 win/s]
  ep182  loss 0.3567 (pw 0.0009 harm 3.3594)  [5s, 9,676 win/s]
  ep183  loss 0.3518 (pw 0.0009 harm 3.3062)  [5s, 9,619 win/s]
  ep184  loss 0.3571 (pw 0.0009 harm 3.3581)  [5s, 9,644 win/s]
  ep185  loss 0.3582 (pw 0.0009 harm 3.3867)  [5s, 9,650 win/s]
  ep186  loss 0.3646 (pw 0.0009 harm 3.4466)  [5s, 9,614 win/s]
  ep187  loss 0.3560 (pw 0.0009 harm 3.3593)  [5s, 9,607 win/s]
  ep188  loss 0.3644 (pw 0.0009 harm 3.4549)  [5s, 9,658 win/s]
  ep189  loss 0.3641 (pw 0.0009 harm 3.4349)  [5s, 9,680 win/s]
  ep190  loss 0.3547 (pw 0.0008 harm 3.3584)  |  MAE 3.019W  F1 0.9783  저항3종 0.999  잔차 24.8W  [5s 학습 / 0s 평가, 9,571 win/s]
  ep191  loss 0.3609 (pw 0.0008 harm 3.4161)  [5s, 9,632 win/s]
  ep192  loss 0.3518 (pw 0.0009 harm 3.3168)  [5s, 9,624 win/s]
  ep193  loss 0.3573 (pw 0.0009 harm 3.3643)  [5s, 9,679 win/s]
  ep194  loss 0.3620 (pw 0.0009 harm 3.4162)  [5s, 9,631 win/s]
  ep195  loss 0.3516 (pw 0.0008 harm 3.3256)  [5s, 9,623 win/s]
  ep196  loss 0.3687 (pw 0.0009 harm 3.4955)  [5s, 9,673 win/s]
  ep197  loss 0.3700 (pw 0.0009 harm 3.5027)  [5s, 9,639 win/s]
  ep198  loss 0.3502 (pw 0.0009 harm 3.2869)  [5s, 9,602 win/s]
  ep199  loss 0.3618 (pw 0.0008 harm 3.4284)  [5s, 9,684 win/s]
  ep200  loss 0.3534 (pw 0.0008 harm 3.3480)  |  MAE 2.887W  F1 0.9794  저항3종 1.000  잔차 24.0W  [5s 학습 / 0s 평가, 9,682 win/s]
  ep201  loss 0.3540 (pw 0.0009 harm 3.3511)  [5s, 9,597 win/s]
  ep202  loss 0.3641 (pw 0.0009 harm 3.4470)  [5s, 9,633 win/s]
  ep203  loss 0.3626 (pw 0.0008 harm 3.4448)  [5s, 9,670 win/s]
  ep204  loss 0.3637 (pw 0.0009 harm 3.4438)  [5s, 9,719 win/s]
  ep205  loss 0.3617 (pw 0.0008 harm 3.4269)  [5s, 9,604 win/s]
  ep206  loss 0.3625 (pw 0.0008 harm 3.4432)  [5s, 9,680 win/s]
  ep207  loss 0.3678 (pw 0.0009 harm 3.4798)  [5s, 9,693 win/s]
  ep208  loss 0.3559 (pw 0.0009 harm 3.3680)  [5s, 9,677 win/s]
  ep209  loss 0.3687 (pw 0.0008 harm 3.5041)  [5s, 9,592 win/s]
  ep210  loss 0.3612 (pw 0.0008 harm 3.4300)  |  MAE 2.881W  F1 0.9789  저항3종 1.000  잔차 24.1W  [5s 학습 / 0s 평가, 9,631 win/s]
  ep211  loss 0.3628 (pw 0.0008 harm 3.4462)  [5s, 9,672 win/s]
  ep212  loss 0.3496 (pw 0.0008 harm 3.3173)  [5s, 9,635 win/s]
  ep213  loss 0.3622 (pw 0.0008 harm 3.4409)  [5s, 9,667 win/s]
  ep214  loss 0.3513 (pw 0.0008 harm 3.3401)  [5s, 9,684 win/s]
  ep215  loss 0.3647 (pw 0.0008 harm 3.4634)  [5s, 9,681 win/s]
  ep216  loss 0.3568 (pw 0.0008 harm 3.3861)  [5s, 9,576 win/s]
  ep217  loss 0.3600 (pw 0.0008 harm 3.4236)  [5s, 9,657 win/s]
  ep218  loss 0.3667 (pw 0.0008 harm 3.4825)  [5s, 9,645 win/s]
  ep219  loss 0.3625 (pw 0.0008 harm 3.4412)  [5s, 9,672 win/s]
  ep220  loss 0.3584 (pw 0.0008 harm 3.4023)  |  MAE 3.007W  F1 0.9791  저항3종 1.000  잔차 25.2W  [5s 학습 / 0s 평가, 9,627 win/s]
  ep221  loss 0.3597 (pw 0.0008 harm 3.4085)  [5s, 9,658 win/s]
  ep222  loss 0.3555 (pw 0.0008 harm 3.3779)  [5s, 9,687 win/s]
  ep223  loss 0.3469 (pw 0.0008 harm 3.2836)  [5s, 9,653 win/s]
  ep224  loss 0.3520 (pw 0.0008 harm 3.3451)  [5s, 9,646 win/s]
  ep225  loss 0.3602 (pw 0.0008 harm 3.4274)  [5s, 9,631 win/s]
  ep226  loss 0.3587 (pw 0.0008 harm 3.4100)  [5s, 9,641 win/s]
  ep227  loss 0.3475 (pw 0.0008 harm 3.3007)  [5s, 9,612 win/s]
  ep228  loss 0.3513 (pw 0.0008 harm 3.3402)  [5s, 9,626 win/s]
  ep229  loss 0.3547 (pw 0.0008 harm 3.3642)  [5s, 9,674 win/s]
  ep230  loss 0.3607 (pw 0.0008 harm 3.4214)  |  MAE 2.929W  F1 0.9784  저항3종 1.000  잔차 24.4W  [5s 학습 / 0s 평가, 9,701 win/s]
  ep231  loss 0.3595 (pw 0.0008 harm 3.4233)  [5s, 9,612 win/s]
  ep232  loss 0.3524 (pw 0.0008 harm 3.3529)  [5s, 9,626 win/s]
  ep233  loss 0.3524 (pw 0.0008 harm 3.3421)  [5s, 9,678 win/s]
  ep234  loss 0.3632 (pw 0.0008 harm 3.4511)  [5s, 9,697 win/s]
  ep235  loss 0.3555 (pw 0.0008 harm 3.3873)  [5s, 9,623 win/s]
  ep236  loss 0.3597 (pw 0.0008 harm 3.4244)  [5s, 9,684 win/s]
