====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ze1 — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep132  loss 0.0660 (pw 0.0015 harm 0.3927)  [5s, 9,565 win/s]
  ep133  loss 0.0658 (pw 0.0015 harm 0.3894)  [5s, 9,562 win/s]
  ep134  loss 0.0642 (pw 0.0014 harm 0.3910)  [5s, 9,562 win/s]
  ep135  loss 0.0685 (pw 0.0016 harm 0.3920)  [5s, 9,553 win/s]
  ep136  loss 0.0679 (pw 0.0016 harm 0.3946)  [5s, 9,556 win/s]
  ep137  loss 0.0665 (pw 0.0015 harm 0.3898)  [5s, 9,570 win/s]
  ep138  loss 0.0667 (pw 0.0015 harm 0.3891)  [5s, 9,561 win/s]
  ep139  loss 0.0642 (pw 0.0014 harm 0.3887)  [5s, 9,556 win/s]
  ep140  loss 0.0639 (pw 0.0014 harm 0.3934)  |  MAE 3.301W  F1 0.9678  저항3종 0.994  잔차 22.7W  [5s 학습 / 0s 평가, 9,549 win/s]
  ep141  loss 0.0668 (pw 0.0015 harm 0.3890)  [5s, 9,560 win/s]
  ep142  loss 0.0648 (pw 0.0015 harm 0.3891)  [5s, 9,563 win/s]
  ep143  loss 0.0659 (pw 0.0015 harm 0.3874)  [5s, 9,571 win/s]
  ep144  loss 0.0634 (pw 0.0014 harm 0.3902)  [5s, 9,569 win/s]
  ep145  loss 0.0645 (pw 0.0015 harm 0.3903)  [5s, 9,517 win/s]
  ep146  loss 0.0645 (pw 0.0015 harm 0.3866)  [5s, 9,557 win/s]
  ep147  loss 0.0643 (pw 0.0014 harm 0.3868)  [5s, 9,559 win/s]
  ep148  loss 0.0630 (pw 0.0014 harm 0.3889)  [5s, 9,553 win/s]
  ep149  loss 0.0638 (pw 0.0014 harm 0.3899)  [5s, 9,551 win/s]
  ep150  loss 0.0640 (pw 0.0015 harm 0.3915)  |  MAE 3.511W  F1 0.9647  저항3종 0.994  잔차 25.1W  [5s 학습 / 0s 평가, 9,567 win/s]
  ep151  loss 0.0655 (pw 0.0015 harm 0.3893)  [5s, 9,569 win/s]
