====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_drop — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep190  loss 0.1518 (pw 0.0007 harm 1.3720)  |  MAE 2.922W  F1 0.9809  저항3종 0.999  잔차 24.7W  [5s 학습 / 0s 평가, 9,708 win/s]
  ep191  loss 0.1511 (pw 0.0007 harm 1.3620)  [5s, 9,629 win/s]
  ep192  loss 0.1530 (pw 0.0008 harm 1.3709)  [5s, 9,693 win/s]
  ep193  loss 0.1549 (pw 0.0008 harm 1.3908)  [5s, 9,667 win/s]
  ep194  loss 0.1531 (pw 0.0008 harm 1.3754)  [5s, 9,699 win/s]
  ep195  loss 0.1518 (pw 0.0007 harm 1.3716)  [5s, 9,656 win/s]
  ep196  loss 0.1518 (pw 0.0008 harm 1.3713)  [5s, 9,697 win/s]
  ep197  loss 0.1560 (pw 0.0008 harm 1.4106)  [5s, 9,674 win/s]
  ep198  loss 0.1545 (pw 0.0008 harm 1.3826)  [5s, 9,739 win/s]
  ep199  loss 0.1519 (pw 0.0008 harm 1.3677)  [5s, 9,662 win/s]
  ep200  loss 0.1509 (pw 0.0008 harm 1.3645)  |  MAE 2.964W  F1 0.9779  저항3종 0.998  잔차 24.2W  [5s 학습 / 0s 평가, 9,706 win/s]
  ep201  loss 0.1523 (pw 0.0008 harm 1.3755)  [5s, 9,728 win/s]
  ep202  loss 0.1531 (pw 0.0008 harm 1.3816)  [5s, 9,695 win/s]
  ep203  loss 0.1513 (pw 0.0007 harm 1.3695)  [5s, 9,660 win/s]
  ep204  loss 0.1526 (pw 0.0008 harm 1.3770)  [5s, 9,703 win/s]
  ep205  loss 0.1525 (pw 0.0007 harm 1.3819)  [5s, 9,676 win/s]
  ep206  loss 0.1541 (pw 0.0007 harm 1.3975)  [5s, 9,660 win/s]
  ep207  loss 0.1538 (pw 0.0008 harm 1.3891)  [5s, 9,655 win/s]
  ep208  loss 0.1512 (pw 0.0008 harm 1.3640)  [5s, 9,683 win/s]
  ep209  loss 0.1560 (pw 0.0007 harm 1.4207)  [5s, 9,707 win/s]
  ep210  loss 0.1528 (pw 0.0007 harm 1.3874)  |  MAE 2.963W  F1 0.9754  저항3종 0.999  잔차 24.5W  [5s 학습 / 0s 평가, 9,630 win/s]
  ep211  loss 0.1520 (pw 0.0007 harm 1.3827)  [5s, 9,623 win/s]
  ep212  loss 0.1497 (pw 0.0007 harm 1.3602)  [5s, 9,694 win/s]
  ep213  loss 0.1523 (pw 0.0007 harm 1.3840)  [5s, 9,709 win/s]
  ep214  loss 0.1502 (pw 0.0007 harm 1.3667)  [5s, 9,587 win/s]
  ep215  loss 0.1527 (pw 0.0008 harm 1.3867)  [5s, 9,690 win/s]
  ep216  loss 0.1517 (pw 0.0007 harm 1.3749)  [5s, 9,660 win/s]
  ep217  loss 0.1519 (pw 0.0007 harm 1.3854)  [5s, 9,733 win/s]
  ep218  loss 0.1510 (pw 0.0007 harm 1.3687)  [5s, 9,579 win/s]
  ep219  loss 0.1518 (pw 0.0008 harm 1.3739)  [5s, 9,689 win/s]
  ep220  loss 0.1481 (pw 0.0007 harm 1.3423)  |  MAE 2.972W  F1 0.9790  저항3종 1.000  잔차 24.8W  [5s 학습 / 0s 평가, 9,695 win/s]
  ep221  loss 0.1486 (pw 0.0007 harm 1.3443)  [5s, 9,682 win/s]
  ep222  loss 0.1494 (pw 0.0007 harm 1.3590)  [5s, 9,586 win/s]
  ep223  loss 0.1535 (pw 0.0008 harm 1.3916)  [5s, 9,656 win/s]
  ep224  loss 0.1496 (pw 0.0007 harm 1.3599)  [5s, 9,726 win/s]
  ep225  loss 0.1477 (pw 0.0007 harm 1.3414)  [5s, 9,587 win/s]
  ep226  loss 0.1502 (pw 0.0007 harm 1.3642)  [5s, 9,670 win/s]
  ep227  loss 0.1499 (pw 0.0007 harm 1.3650)  [5s, 9,690 win/s]
  ep228  loss 0.1511 (pw 0.0007 harm 1.3765)  [5s, 9,711 win/s]
  ep229  loss 0.1557 (pw 0.0008 harm 1.4173)  [5s, 9,649 win/s]
  ep230  loss 0.1514 (pw 0.0007 harm 1.3722)  |  MAE 2.914W  F1 0.9802  저항3종 0.999  잔차 24.5W  [5s 학습 / 0s 평가, 9,685 win/s]
  ep231  loss 0.1514 (pw 0.0007 harm 1.3834)  [5s, 9,727 win/s]
  ep232  loss 0.1515 (pw 0.0007 harm 1.3827)  [5s, 9,677 win/s]
  ep233  loss 0.1490 (pw 0.0007 harm 1.3520)  [5s, 9,621 win/s]
  ep234  loss 0.1495 (pw 0.0007 harm 1.3558)  [5s, 9,672 win/s]
  ep235  loss 0.1488 (pw 0.0007 harm 1.3596)  [5s, 9,714 win/s]
  ep236  loss 0.1482 (pw 0.0007 harm 1.3492)  [5s, 9,676 win/s]
  ep237  loss 0.1501 (pw 0.0007 harm 1.3742)  [5s, 9,613 win/s]
  ep238  loss 0.1546 (pw 0.0007 harm 1.4064)  [5s, 9,693 win/s]
  ep239  loss 0.1513 (pw 0.0007 harm 1.3846)  [5s, 9,702 win/s]
  ep240  loss 0.1526 (pw 0.0007 harm 1.3909)  |  MAE 2.961W  F1 0.9802  저항3종 0.999  잔차 24.7W  [5s 학습 / 0s 평가, 9,604 win/s]
  ep241  loss 0.1519 (pw 0.0007 harm 1.3833)  [5s, 9,646 win/s]
  ep242  loss 0.1510 (pw 0.0007 harm 1.3796)  [5s, 9,679 win/s]
  ep243  loss 0.1495 (pw 0.0007 harm 1.3678)  [5s, 9,699 win/s]
  ep244  loss 0.1505 (pw 0.0007 harm 1.3757)  [5s, 9,593 win/s]
  ep245  loss 0.1499 (pw 0.0007 harm 1.3722)  [5s, 9,675 win/s]
  ep246  loss 0.1528 (pw 0.0007 harm 1.3960)  [5s, 9,688 win/s]
  ep247  loss 0.1485 (pw 0.0007 harm 1.3598)  [5s, 9,664 win/s]
  ep248  loss 0.1510 (pw 0.0007 harm 1.3775)  [5s, 9,677 win/s]
  ep249  loss 0.1486 (pw 0.0007 harm 1.3556)  [5s, 9,730 win/s]
